job,block,n,category,arm,tfhe_key,sequence,phase,expected_id,query_seconds,decoded_id,input_index,absolute_error,max_other_slots,decryption_seconds,encryption_seconds,stage_score_seconds,stage_layout_seconds,stage_comparison_seconds,stage_product_seconds,stage_output_seconds
14-block3-n64-ckks,3,64,aligned,ckks,1,6,measured,64,3.021380625,64,,6.661192422541262e-05,1.8347666982675893e-05,0.008276167,0.074755167,0.633974167,0.81822625,1.384533375,0.109333167,0.075313125
14-block3-n64-ckks,3,64,general,ckks,1,7,measured,64,3.03002275,64,,0.0009083926353383731,1.0839722500238386e-05,0.008623625,0.0741895,0.639917208,0.812059833,1.3926695,0.10930725,0.076068583
14-block3-n64-ckks,3,64,mixed,ckks,1,8,measured,64,3.012430042,64,,0.0005021521391199713,2.1677243828393344e-05,0.00937425,0.07504825,0.636957708,0.810553,1.376720292,0.110399834,0.077799083
14-block3-n64-ckks,3,64,aligned,ckks,1,9,measured,64,3.005889834,64,,0.0005837539667794545,1.8791887795869741e-06,0.009910458,0.076565583,0.637864167,0.808431542,1.376278667,0.108688708,0.0746265
14-block3-n64-ckks,3,64,general,ckks,1,10,measured,64,3.013617083,64,,0.001212412000512586,1.8846053473485453e-06,0.009093334,0.075025541,0.638799375,0.811062958,1.37764725,0.109118291,0.076988875
14-block3-n64-ckks,3,64,mixed,ckks,1,11,measured,64,3.019103584,64,,0.00017394784546809205,1.5044573886715107e-05,0.009372583,0.0743205,0.635882375,0.80607575,1.391197417,0.11121625,0.074731125
15-block3-n64-tfhe-after,3,64,aligned,tfhe-after,1,0,warmup,64,1.3423405,64,9,,,,,,,,,
15-block3-n64-tfhe-after,3,64,general,tfhe-after,1,1,warmup,64,1.326595625,64,15,,,,,,,,,
15-block3-n64-tfhe-after,3,64,mixed,tfhe-after,1,2,warmup,64,1.459529375,64,21,,,,,,,,,
15-block3-n64-tfhe-after,3,64,aligned,tfhe-after,1,3,measured,64,1.409460625,64,11,,,,,,,,,
